Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Quinoa ( white ) - organic / 454g,106900,,"Eden Foods, Inc.",Hv,Grains,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,155.700000,882.300000,1349.400000,1141.800000,934.200000,830.400000,0.000000,0.000000,0.000000,3626.760000,2194.500000,4504.500000,808.500000,984.000000,82.000000,3055.000000,2864.000000,4707.000000,1230.000000,2682.000000,2542.000000,10107.800000,5847.000000,5840.700000,5103.400000,828.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62300.960000,51333.740000,10967.220000,0.176036,0.000000
Chicken Breasts / 1kg,ChickenBreasts,,NGS,Shahd,Fresh poultry,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,426.240000,1231.360000,1847.040000,2604.800000,1515.520000,2225.920000,2131.200000,947.200000,1562.880000,1894.400000,1657.600000,1799.680000,1326.080000,1562.880000,1515.520000,1704.960000,2135.680000,1728.000000,3648.000000,2856.000000,4200.000000,4760.000000,4368.000000,4760.000000,3528.000000,1400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59336.960000,45182.000000,14154.960000,0.238552,0.000000
Chicken breast - Hormone free (frozen),80001,,NGS,Shahd,Poultry,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.000000,10976.000000,3862.427350,1789.000000,4686.945289,5240.381685,7792.745465,7767.317151,7137.251022,49308.067962,35058.640000,14249.427962,0.288988,0.000000
Coconut oil (organic) - for cooking,101001,,,Divine coconut,Oil,"Super food, Weight loss, Oil",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.000000,9916.000000,2560.400000,2205.505155,4417.800000,3537.665409,4277.338577,8850.907080,4732.163715,41089.779935,31472.000000,9617.779935,0.234067,0.000000
Whole Chicken / 1kg,WholeChicken,,NGS,Shahd,Fresh poultry,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149.500000,1345.500000,2152.800000,1046.500000,1554.800000,2362.100000,1046.500000,1435.200000,568.100000,2780.700000,1046.500000,1704.300000,2481.700000,1913.600000,1823.900000,1196.000000,1435.200000,1239.600000,1920.000000,1260.000000,1800.000000,2016.000000,2160.000000,1932.000000,1890.000000,420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40680.500000,31340.300000,9340.200000,0.229599,0.000000
Beef Fillet / 1kg,BeefFillet,,NGS,Shahd,Fresh beef,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,867.920000,2603.760000,1952.820000,2386.780000,650.940000,1301.880000,1952.820000,650.940000,216.980000,3527.877820,1518.860000,1301.880000,650.940000,650.940000,433.960000,433.960000,433.960000,2951.000000,0.000000,0.000000,0.000000,0.000000,0.000000,690.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25178.217820,17442.500000,7735.717820,0.307238,0.000000
Beef fillet (whole),151017,,NGS,El rancho,Beef,Wholesale,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21314.990000,2357.185800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23672.175800,20129.175000,3543.000800,0.149669,0.000000
Whole chicken - Hormone free (frozen),80005,,NGS,Shahd,Poultry,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6132.000000,2977.500000,1260.000000,1620.000000,1980.000000,4080.421348,2629.084098,2763.917338,23442.922784,16012.030000,7430.892784,0.316978,0.000000
Beef mince - no fat (chemical free) - frozen,151006,,NGS,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5684.000000,3491.400000,2589.730653,3038.000000,1550.000000,973.594969,2503.863746,2558.649903,22389.239270,15856.720000,6532.519270,0.291770,0.000000
Coconut oil (organic) - for cooking,Coconutoilorganic-forcooking,,Divine coconut,Divine coconut,Oil,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2000.000000,3750.000000,3725.000000,5024.000000,5664.000000,472.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20635.000000,15696.250000,4938.750000,0.239339,0.000000
Salmon steak (frozen),451001,,,Red Coral,Sea Food,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3038.000000,1556.200000,1364.000000,1588.043537,2963.600000,2759.000000,3388.875700,2576.113136,19233.832374,12720.000000,6513.832374,0.338665,0.000000
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,General,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,185.000000,4660.000000,2082.624782,980.424870,2020.670198,1848.049762,2586.345982,2991.765426,1699.753162,19054.634183,0.000000,19054.634183,1.000000,0.000000
Beef fillet (chemical free) - frozen,151003,,NGS,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,178.800000,2342.600000,1587.600000,2916.361809,1640.310680,1862.000000,2833.115336,1625.576253,3942.408042,18928.772120,14141.350000,4787.422120,0.252918,0.000000
